iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,14.4,50,21,0,3.47
100,29.1,100,29,0,3.44
150,44.0,150,38,0,3.41
200,60.1,200,47,0,3.33
250,75.1,250,56,0,3.33
300,88.5,300,60,0,3.39
350,102.4,350,61,0,3.42
400,116.8,400,66,0,3.42
