iteration,timestamp,input,bug_type,is_new,exit_code
1,3.514,0.0.0.0,functional,1,0
2,7.204,1.2.3.4,normal,0,0
3,10.833,9.10.99.100,normal,0,0
4,14.354,127.0.0.1,functional,0,0
5,17.720,192.168.1.1,normal,0,0
6,21.206,192.168.0.0,functional,0,0
7,24.790,10.0.0.1,functional,0,0
8,28.232,172.16.0.1,functional,0,0
9,31.638,255.255.255.255,normal,0,0
10,34.918,0.0.0.1,functional,0,0
11,38.276,0.0.1.0,functional,0,0
12,41.663,0.1.0.0,functional,0,0
13,45.000,1.0.0.0,functional,0,0
14,58.609,254.254.254.254,crash,1,0
15,61.978,255.0.0.0,normal,0,0
16,65.386,0.0.0.255,functional,0,0
17,68.791,00.01.002.000,invalidity,1,0
18,72.114,09.10.099.100,normal,0,0
19,75.545,001.002.003.004,invalidity,1,0
20,78.933,127.000.000.001,functional,0,0
21,82.308,192.168.001.001,invalidity,1,0
22,85.616,249.250.251.252,normal,0,0
23,89.005,256.0.0.0,invalidity,1,0
24,92.352,0.256.0.0,invalidity,1,0
25,95.821,0.0.256.0,invalidity,1,0
26,99.311,0.0.0.256,functional,0,0
27,102.695,300.1.2.3,invalidity,1,0
28,106.223,1.300.2.3,invalidity,1,0
29,109.647,1.2.300.3,invalidity,1,0
30,113.258,1.2.3.300,invalidity,1,0
31,117.372,999.999.999.999,invalidity,1,0
32,121.279,1.2.3,invalidity,1,0
33,124.993,1.2,invalidity,1,0
34,128.587,1,invalidity,1,0
35,132.097,1.2.3.4.5,invalidity,1,0
36,135.598,"1,2,3,4",invalidity,1,0
37,139.051,1:2:3:4,invalidity,1,0
38,142.679,1/2/3/4,invalidity,1,0
39,146.244,1.2.3.4 ,normal,0,0
40,149.733, 1.2.3.4,invalidity,1,0
41,153.379,1.2.3. 4,invalidity,0,0
42,157.134,a.b.c.d,invalidity,0,0
43,160.806,1.2.3.x,invalidity,0,0
44,164.595,,invalidity,0,0
45,168.239,.,invalidity,0,0
46,171.873,12345.1.2.3,invalidity,1,0
47,175.641,1.2.3.12345,invalidity,1,0
48,179.381,ff.ff.ff.ff,invalidity,0,0
49,182.876,0�2560,bonus,1,0
50,186.985,300.��1.99.3,bonus,1,0
51,190.682,300.1 2.3,invalidity,0,0
52,194.205,0.256.0.0.0,invalidity,0,0
53,198.096,192.1680,invalidity,1,0
