first_seen_iter,first_seen_time,category,exc_type,exc_msg,input
1,3.514,functional,buggy_ipyparse.ipv4_stv.FunctionalBug,Invalid ipv4 calculation.,0.0.0.0
14,58.609,performance,buggy_ipyparse.ipv4_stv.PerformanceBug,Performance bug has been hit!,254.254.254.254
17,68.791,invalidity,ParseException,"Expected '.', found '2'  (at char 8), (line:1, col:9)",00.01.002.000
19,75.545,invalidity,ParseException,"Expected '.', found '1'  (at char 2), (line:1, col:3)",001.002.003.004
21,82.308,invalidity,ParseException,"Expected '.', found '1'  (at char 10), (line:1, col:11)",192.168.001.001
23,89.005,invalidity,ParseException,"Expected '.', found '6'  (at char 2), (line:1, col:3)",256.0.0.0
24,92.352,invalidity,ParseException,"Expected '.', found '6'  (at char 4), (line:1, col:5)",0.256.0.0
25,95.821,invalidity,ParseException,"Expected '.', found '6'  (at char 6), (line:1, col:7)",0.0.256.0
27,102.695,invalidity,ParseException,"Expected '.', found '0'  (at char 2), (line:1, col:3)",300.1.2.3
28,106.223,invalidity,ParseException,"Expected '.', found '0'  (at char 4), (line:1, col:5)",1.300.2.3
29,109.647,invalidity,ParseException,"Expected '.', found '0'  (at char 6), (line:1, col:7)",1.2.300.3
30,113.258,invalidity,ParseException,"Expected end of text, found '0'  (at char 8), (line:1, col:9)",1.2.3.300
31,117.372,invalidity,ParseException,"Expected '.', found '9'  (at char 2), (line:1, col:3)",999.999.999.999
32,121.279,invalidity,ParseException,"Expected '.', found end of text  (at char 5), (line:1, col:6)",1.2.3
33,124.993,invalidity,ParseException,"Expected '.', found end of text  (at char 3), (line:1, col:4)",1.2
34,128.587,invalidity,ParseException,"Expected '.', found end of text  (at char 1), (line:1, col:2)",1
35,132.097,invalidity,ParseException,"Expected end of text, found '.'  (at char 7), (line:1, col:8)",1.2.3.4.5
36,135.598,invalidity,ParseException,"Expected '.', found ','  (at char 1), (line:1, col:2)","1,2,3,4"
37,139.051,invalidity,ParseException,"Expected '.', found ':'  (at char 1), (line:1, col:2)",1:2:3:4
38,142.679,invalidity,ParseException,"Expected '.', found '/'  (at char 1), (line:1, col:2)",1/2/3/4
40,149.733,invalidity,buggy_ipyparse.ipv4_stv.InvalidityBug,One of the octets are empty, 1.2.3.4
46,171.873,invalidity,ParseException,"Expected '.', found '45'  (at char 3), (line:1, col:4)",12345.1.2.3
47,175.641,invalidity,ParseException,"Expected end of text, found '45'  (at char 9), (line:1, col:10)",1.2.3.12345
49,182.876,bonus,ParseException,"ncode
UnicodeEncodeError: 'charmap' codec can't encode character '\ufffd' in position 37: character maps to <undefined>",0�2560
50,186.985,bonus,ParseException,"in encode
UnicodeEncodeError: 'charmap' codec can't encode characters in position 40-41: character maps to <undefined>",300.��1.99.3
53,198.096,invalidity,ParseException,"Expected '.', found '0'  (at char 7), (line:1, col:8)",192.1680
