first_seen_iter,first_seen_time,category,exc_type,exc_msg,input
44,213.477,bonus,ParseException,"Expected ':', found '.'  (at char 3), (line:1, col:4)",127.0.0.1
46,223.105,bonus,ParseException,"Expected ':', found '.'  (at char 1), (line:1, col:2)",1.2.3.4
47,228.081,bonus,ParseException,"Expected ':', found end of text  (at char 34), (line:1, col:35)",3ffe:0b00:0000:0001:0000:0000:000a
48,233.224,invalidity,buggy_ipyparse.ipv6_mstv.InvalidityBug,Number of tokens passed exceeds the permitted number of hexes.,FF02:0000:0000:0000:0000:0000:0000:0000:0001
50,243.262,invalidity,buggy_ipyparse.ipv6_mstv.InvalidityBug,Hex of length more than 4 found.,2001:DB8:0:0:8:800:200C:417A:221FF01::101::2
51,248.272,bonus,ParseException,"Expected end of text, found ':'  (at char 11), (line:1, col:12)",3ffe:b00::1::a
52,253.209,bonus,ParseException,"Expected {W:(0-9A-Fa-f){1,5} ^ Group:({Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}",::1111:2222:3333:4444:5555:6666::
53,258.197,bonus,ParseException,"Expected end of text, found ':'  (at char 10), (line:1, col:11)",1:2:3::4:5::7:8
55,267.619,bonus,ParseException,"Expected end of text, found ':'  (at char 4), (line:1, col:5)",1::2::3
56,272.147,bonus,ParseException,"Expected end of text, found ':'  (at char 9), (line:1, col:10)",FF01::101::2
58,281.440,bonus,ParseException,"Expected end of text, found ':'  (at char 25), (line:1, col:26)",1111:2222:3333:4444::5555:
59,286.039,bonus,ParseException,"Expected {{W:(0-9A-Fa-f){1,5} Suppress:(':')} {W:(0-9A-Fa-f){1,5} Suppress:(':')} {W:(0-9A-Fa-f){1,5} Suppress:(':')} {W",:1111:2222:3333:4444::5555
60,290.562,bonus,pyparsing.exceptions.ParseException,"Expected W:(0-9A-Fa-f){1,5}, found end of text  (at char 5), (line:1, col:6)",1111:
63,304.409,bonus,ParseException,"Expected end of text, found '.'  (at char 8), (line:1, col:9)",1::5:256.2.3.4
64,309.050,bonus,ParseException,"Expected end of text, found '.'  (at char 6), (line:1, col:7)",1::5:1.256.3.4
65,313.814,bonus,ParseException,"Expected end of text, found '6'  (at char 10), (line:1, col:11)",::1.2.3.256
66,318.319,bonus,ParseException,"Expected end of text, found '.'  (at char 5), (line:1, col:6)",::300.2.3.4
67,322.994,bonus,ParseException,"Expected end of text, found '.'  (at char 3), (line:1, col:4)",::1.300.3.4
72,345.632,bonus,ParseException,"Expected end of text, found 'k'  (at char 23), (line:1, col:24)",2001:db8:85a3::8a2e:370k:7334
74,354.616,bonus,ParseException,"Expected ':', found end of text  (at char 3), (line:1, col:4)",123
75,359.109,bonus,ParseException,"Expected end of text, found '0'  (at char 40), (line:1, col:41)",2001:0000:1234:0000:0000:C1C0:ABCD:0876 0
76,363.795,bonus,ParseException,"Expected W:(0-9A-Fa-f){1,5}, found ' '  (at char 15), (line:1, col:16)",2001:0000:1234: 0000:0000:C1C0:ABCD:0876
80,382.760,bonus,ParseException,"Expected end of text, found '.'  (at char 10), (line:1, col:11)",::ffff:257.1.2.3
