iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,18.1,50,21,0,2.77
100,34.8,100,29,0,2.87
150,56.2,150,40,0,2.67
200,75.5,200,47,0,2.65
250,93.5,250,53,0,2.67
300,112.0,300,57,0,2.68
