bug_type,exc_type,exc_message,filename,lineno,count
invalidity,JSONDecodeError,Expecting value: line 1 column 6 (char 5),/Users/weiyang/Documents/SUTD/Term 6/Software Testing and Verification/STV_Project_Group_2/json-decoder/buggy_json/decoder_stv.py,210,1
invalidity,ParseException,"Expected '.', found '6'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340,1
