iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,20.6,50,19,0,2.42
100,51.1,100,37,0,1.96
150,78.9,150,52,0,1.90
200,111.7,200,64,0,1.79
