Timestamp,Iteration,Coverage_Metric,New_Paths_Found
2026-03-22 18:34:59,2.0,2.0,2.0,0
2026-03-22 18:35:10,2.0,2.0,2.0,0
2026-03-22 18:35:22,2.0,2.0,2.0,0
2026-03-22 18:35:33,2.0,2.0,2.0,0
2026-03-22 18:35:45,2.0,2.0,2.0,0
2026-03-22 18:35:56,2.0,2.0,2.0,0
2026-03-22 18:36:08,2.0,2.0,2.0,0
2026-03-22 18:36:19,2.0,2.0,2.0,0
2026-03-22 18:36:30,2.0,2.0,2.0,0
2026-03-22 18:36:42,2.0,2.0,2.0,0
2026-03-22 18:36:53,2.0,2.0,2.0,0
2026-03-22 18:37:06,2.0,2.0,2.0,0
2026-03-22 18:37:20,2.0,2.0,2.0,0
2026-03-22 18:37:32,4.0,4.0,4.0,0
2026-03-22 18:37:43,4.0,4.0,4.0,0
2026-03-22 18:37:55,4.0,4.0,4.0,0
2026-03-22 18:38:06,4.0,4.0,4.0,0
2026-03-22 18:38:17,4.0,4.0,4.0,0
2026-03-22 18:38:29,4.0,4.0,4.0,0
2026-03-22 18:38:40,4.0,4.0,4.0,0
2026-03-22 18:38:52,4.0,4.0,4.0,0
2026-03-22 18:39:03,4.0,4.0,4.0,0
2026-03-22 18:39:14,4.0,4.0,4.0,0
2026-03-22 18:39:26,4.0,4.0,4.0,0
2026-03-22 18:39:37,4.0,4.0,4.0,0
2026-03-22 18:40:04,4.0,4.0,4.0,0
2026-03-22 18:40:16,4.0,4.0,4.0,0
2026-03-22 18:40:27,4.0,4.0,4.0,0
2026-03-22 18:40:39,4.0,4.0,4.0,0
2026-03-22 18:40:50,4.0,4.0,4.0,0
2026-03-22 18:41:01,4.0,4.0,4.0,0
2026-03-22 18:41:13,4.0,4.0,4.0,0
2026-03-22 18:41:24,4.0,4.0,4.0,0
2026-03-22 18:41:36,4.0,4.0,4.0,0
2026-03-22 18:41:47,6.0,6.0,6.0,0
2026-03-22 18:41:58,6.0,6.0,6.0,0
2026-03-22 18:42:10,6.0,6.0,6.0,0
2026-03-22 18:42:25,6.0,6.0,6.0,0
2026-03-22 18:42:36,6.0,6.0,6.0,0
2026-03-22 18:42:48,6.0,6.0,6.0,0
2026-03-22 18:42:59,6.0,6.0,6.0,0
2026-03-22 18:43:10,8.0,8.0,8.0,0
2026-03-22 18:43:22,8.0,8.0,8.0,0
2026-03-22 18:43:33,8.0,8.0,8.0,0
2026-03-22 18:43:45,8.0,8.0,8.0,0
