behavioral_metric,binary_branch_coverage,binary_coverage_data_valid,binary_coverage_source,binary_function_coverage,binary_instrumentation_error,binary_statement_coverage,branch_coverage,coverage_data_valid,coverage_source,execution_metric,function_coverage,iteration,new_path_found,reference_branch_coverage,reference_coverage_data_valid,reference_coverage_source,reference_function_coverage,reference_instrumentation_error,reference_statement_coverage,run_id,statement_coverage,target,timestamp,total_inputs,tracking_mode
17.0,,,,,,,16.67,,whitebox_target,123.0,19.96,93,False,,,,,,,20260418_122430,21.36,json_decoder,2026-04-18 04:26:25.111000+00:00,93,code_execution
13.0,,,,,,,45.65,,instrumented,198.0,45.55,45,True,,,,,,,20260414_133605,45.51,json_decoder,2026-04-14 05:37:07.378000+00:00,45,code_execution
9.0,,,,,,,45.65,,instrumented,24.0,44.9,49,False,,,,,,,20260414_234543,44.58,json_decoder,2026-04-14 15:46:23.778000+00:00,49,code_execution
10.0,,,,,,,24.64,,instrumented,8.0,27.77,11,False,,,,,,,20260414_133700,29.1,json_decoder,2026-04-14 05:37:22.822000+00:00,11,code_execution
15.0,,,,,,,45.65,,instrumented,201.0,45.99,73,False,,,,,,,20260414_133605,46.13,json_decoder,2026-04-14 05:37:35.541000+00:00,73,code_execution
4.0,,,,,,,29.71,,instrumented,12.0,31.02,29,False,,,,,,,20260416_143405,31.58,json_decoder,2026-04-16 06:34:38.020000+00:00,29,code_execution
15.0,,,,,,,45.65,,instrumented,17.0,44.9,77,False,,,,,,,20260414_163701,44.58,json_decoder,2026-04-14 08:38:55.777000+00:00,77,code_execution
13.0,,,,,,,36.23,,instrumented,188.0,37.31,44,False,,,,,,,20260414_160159,37.77,json_decoder,2026-04-14 08:03:02.402000+00:00,44,code_execution
14.0,,,,,,,47.1,,instrumented,29.0,46.85,110,False,,,,,,,20260414_234543,46.75,json_decoder,2026-04-14 15:47:16.196000+00:00,110,code_execution
63.0,,,,,,,53.62,,instrumented,36.0,52.06,193,False,,,,,,,20260409_130402,51.39,json_decoder,2026-04-09 05:07:16.795000+00:00,193,code_execution
