corpus_size,elapsed_s,iteration,run_id,runs_per_sec,target,timestamp,unique_bugs
0,61.389423666056246,50,20260414_151307,0.814472542892535,json_decoder,2026-04-14 07:14:10.255000+00:00,3
0,776.5390865419758,50,20260409_141825,0.06438825922163964,cidrize,2026-04-09 06:31:22.716000+00:00,48
11,96.16967808397021,300,20260417_175644,3.119486370101562,json_decoder,2026-04-17 09:58:20.610000+00:00,4
10,66.12330391607247,200,20260417_183227,3.0246522504963087,json_decoder,2026-04-17 10:33:34.133000+00:00,3
0,1711.171999999904,751,20260409_133549,0.4388804865905018,json_decoder,2026-04-09 06:04:20.949000+00:00,152
12,102.62074275000487,500,20260417_181623,4.872309307076968,json_decoder,2026-04-17 10:18:06.858000+00:00,3
0,252.21900000004098,50,20260409_151215,0.19824041804936138,json_decoder,2026-04-09 07:16:27.844000+00:00,15
0,177.0779999999795,100,20260414_212125,0.564722890477708,json_decoder,2026-04-14 13:24:22.259000+00:00,57
0,983.061999999918,400,20260409_133549,0.40689193560531617,json_decoder,2026-04-09 05:52:12.830000+00:00,93
0,111.9539999999106,50,20260414_130241,0.4466120013580572,json_decoder,2026-04-14 05:04:33.604000+00:00,16
10,80.43161045899615,200,20260417_175644,2.4865845512562443,json_decoder,2026-04-17 09:58:04.889000+00:00,4
0,253.6907300419407,251,20260409_130404,0.9893936603773584,json_decoder,2026-04-09 05:08:18.926000+00:00,60
9,45.794649999937974,250,20260417_192418,5.459152979667682,json_decoder,2026-04-17 11:25:04.943000+00:00,2
0,1604.7029999999795,701,20260409_133549,0.43684096060143773,json_decoder,2026-04-09 06:02:34.477000+00:00,143
11,108.5235639999155,650,20260417_192418,5.989482615964457,json_decoder,2026-04-17 11:26:07.215000+00:00,2
6,42.484568375046365,50,20260417_180445,1.1768979164059927,json_decoder,2026-04-17 10:05:28.511000+00:00,9
0,1089.2029999999795,451,20260409_133549,0.41406422861487574,json_decoder,2026-04-09 05:53:58.976000+00:00,104
32,41.44304291694425,250,20260417_212724,6.032375578719533,json_decoder,2026-04-17 13:28:05.856000+00:00,1
9,50.730803332990035,100,20260417_183227,1.9711889706065506,json_decoder,2026-04-17 10:33:18.195000+00:00,3
35,81.6081387080485,250,20260417_194452,3.063419947541875,json_decoder,2026-04-17 11:46:14.041000+00:00,2
31,55.98399999999674,50,20260418_110143,0.8931123178051392,json_decoder,2026-04-18 03:02:39.540000+00:00,2
7,56.008803665987216,100,20260417_180445,1.7854336006953058,json_decoder,2026-04-17 10:05:42.028000+00:00,15
32,114.48500000001513,100,20260418_121911,0.8734768746996269,json_decoder,2026-04-18 04:21:06.098000+00:00,1
33,111.43799999999464,100,20260418_111039,0.8973599669771963,json_decoder,2026-04-18 03:12:31.350000+00:00,1
33,50.39013358298689,250,20260417_195441,4.961288693316878,json_decoder,2026-04-17 11:55:32.562000+00:00,2
0,173.3629689590307,100,20260418_183802,0.5768244544983081,json_decoder,2026-04-18 10:40:55.843000+00:00,2
0,81.58499733300414,50,20260414_133609,0.6128577757490856,json_decoder,2026-04-14 05:37:31.940000+00:00,3
0,775.640999999945,350,20260409_151215,0.45123968433853395,json_decoder,2026-04-09 07:25:11.057000+00:00,87
0,99.22971391596366,50,20260418_181904,0.5038813277476981,json_decoder,2026-04-18 10:20:43.974000+00:00,1
33,60.0,50,20260418_223915,0.8333333333333334,json_decoder,2026-04-18 14:40:16.499000+00:00,1
11,60.328049708972685,250,20260417_181623,4.144009315832683,json_decoder,2026-04-17 10:17:24.540000+00:00,2
0,107.10557983291801,50,20260414_155643,0.4668290865704544,json_decoder,2026-04-14 07:58:31.435000+00:00,3
32,47.14498700003605,250,20260417_224617,5.30279072936872,json_decoder,2026-04-17 14:47:04.916000+00:00,2
0,96.96900000004098,50,20260414_133700,0.5156287060811071,json_decoder,2026-04-14 05:38:37.791000+00:00,32
0,604.515999999945,250,20260409_151215,0.4135539836828516,json_decoder,2026-04-09 07:22:19.991000+00:00,67
10,92.67849704099353,550,20260417_192418,5.934494165963051,json_decoder,2026-04-17 11:25:51.367000+00:00,2
0,55.58190620795358,50,20260416_143406,0.8995733218096282,json_decoder,2026-04-16 06:35:02.065000+00:00,3
0,370.094000000041,150,20260409_123227,0.4053024366782044,json_decoder,2026-04-09 04:38:37.917000+00:00,50
0,104.84982262505218,100,20260414_234544,0.9537450564661861,json_decoder,2026-04-14 15:47:29.819000+00:00,3
33,42.2859437080333,200,20260417_195441,4.729704068588751,json_decoder,2026-04-17 11:55:24.456000+00:00,1
10,74.29941708303522,250,20260417_183227,3.364763948559732,json_decoder,2026-04-17 10:33:42.329000+00:00,3
0,141.3737470000051,100,20260409_130404,0.7073449075378642,json_decoder,2026-04-09 05:06:26.816000+00:00,34
32,34.75039470905904,100,20260417_230052,2.8776651556688972,json_decoder,2026-04-17 15:01:27.546000+00:00,1
32,54.66306358308066,300,20260417_224617,5.488166603469627,json_decoder,2026-04-17 14:47:12.418000+00:00,2
