iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,"'{""WzGzC"": ""dYbfMYnQr"", ""QuUWNlkcY"": 1683859007, ""UqsybJusJYij"": ""wHjNalSEezVUXTvinizQaQEdgpsIjhnemZ"", ""DBJ"": """", ""YvNHc",BONUS,1,1
2,0.028,"'{""qmrLAvYAZ"": ""CYkcAWxyVMBjBTZJn""}'",BONUS,0,1
3,0.054,"'{""WzGzC"": ""dYbfMYnQr"", ""QuUWNlkcY"": 1683859007, ""UqsybJusJYij"": ""wHjNalSEezVUXTvinizQaQEdgpsIjhnemZ"", ""DBJ"": """", ""YvNHc",BONUS,0,1
4,0.080,"'{""gxyjOjsFFYTvwwqiJW"": ""sZDVGrIszhcyUEIgDWgnIenTxrIglecczssXIDfRlRwNovBFXQiaceK"", ""xmCBjZvZZqK"": ""[\'97\']"", ""NOYBkhjQU",BONUS,0,1
5,0.106,"'{""IIkdRiSWnErDRkN"": 488127726, ""OjT"": ""True"", ""lqypwNIPYIvsYe"": -646204001, ""qCMod"": ""[\'47\', \'OkSnLDizPeadvZVuwcHpjn",BONUS,0,1
6,0.132,'192.0.2.170-175',BONUS,0,1
7,0.157,"'{""fmKeWVAdrdjDt"": ""True"", ""F"": 2085514805, ""W'",BONUS,0,1
8,0.181,"'{""WzGzC"": ""dYbfMYnQr"", ""QuUWNlkcY"": 1683859007, ""Uq,ybJusJYij"": ""wHjNalSEezVUXTvinizQaQEdgpsIjhnemZ"", ""DBJ"": """", ""YvNHc",BONUS,0,1
9,0.207,"'{""dPNSXDz'",BONUS,0,1
10,0.237,"'{""dKQd"": ""gSfgCqIxZmlwGFedwgvEhMfOgoJbhlrPTUUfLMRsFqSrYKBpPnNEnkOctWv"", ""NuVWgrhfsJjkR"": ""True"", ""pZNNhbV"": ""[\'null\',",BONUS,0,1
11,0.264,"'{""SPBj"": ""[\'True\', \'null\', \'False\', \'iGiNnPYGrztiuDEDojVgIRhXCJBpUaaKphzgcPGq\']"", ""zndkHbYvvpl"": ""KhmnEoWhjWhZK",BONUS,0,1
12,0.289,"'{""nnzXyAPrV"": -1260016938, ""Haqgh"": 1402632202, ""IjkaXT"": -1851039691, ""lDFs"": ""True"", ""bGHA"": """", ""anrByXYbwbalwIMW"": ",BONUS,0,1
13,0.315,"'{""cBvPoodLYU"": ""koXuNfgzHwGfYmASMxzHnpzOadMcWmMabIlOFIntEZjaARPUzfOaBqtognafZHObysYTQPoWUfgHygyxXOpkVCUCpkAsMLVPxLcc"", ",BONUS,0,1
14,0.339,"'{""WzGzC"": ""dYbfMYnQr"", ""QuUWNlkcY"": 1683859007, ""UqsybJusJYij"": ""wHjNalSEezVUXTvinizQaQEdgpsIjhnemZ"", ""DBJ"": """", ""YvNHc",BONUS,0,1
15,0.365,'192.0.2.[5678]',BONUS,0,1
16,0.390,"'{""bw"": ""[\'null\', \'45\', \'xGnunrjuWjnKbjdSBnEsVrsfdJKPXQlOZ\', \'True\', \'False\', \'True\', \'68\', \'False\']"", """,BONUS,0,1
17,0.414,"'{""kqnqufdAcBtqtEkctIrB"": ""True"", ""lDYGjtayIuZXFyiywFRl"": 867235283, ""ByrjcNTku"": ""lNRolKNqvgM"", ""JPa"": ""[\'fHBWeifeUojp",BONUS,0,1
18,0.439,"'{""LekSVSkoIPxpO"": ""dJURAlMrLveQIIHeORntPdLEshwfCEHetxPctclrhoWVqzeiHHH"", ""qZHyxJmOAkcfOW"": ""[\'True\', \'47\', \'HRneYA",BONUS,0,1
19,0.463,"'{""nnzXyAPrV"": -1260016938, ""Haqgh"": 1402632202, ""IjkaXT"": -1851039691, ""lDFs"": ""True"", ""bGHA"": """", ""anrByXYbwb lwIMW"":a",BONUS,0,1
20,0.487,"'{""XPABZvzwxhkIKtmFtqgw"": ""True"", ""vCXu"": 1211292989, ""CxYimqNWtQWbzCx"": """"}'",BONUS,0,1
21,0.512,"'{""jpVupuxKefGhT"": ""False"", ""Cmwg"": 723240580, ""XASztwcdwNFiDLJ"": ""False"", ""gppVbpflwo"": """", ""FniwhXzIvWAhloMbToF"": 1493",BONUS,0,1
22,0.538,"'{""DgEXtYmgPkbICzOD"": ""[\'100\', \'null\', \'QPVsrrlyYrJaXIHQTXqKqcSkbUf^XqJNbSbsrwUIyrfkhQWARKUyoLLya\', \'25\', \'AjJM",BONUS,0,1
23,0.563,"'{""a"": }'",BONUS,0,1
24,0.588,"'{""a"": }'",BONUS,0,1
25,0.613,"'{""odnFAkYeBlMKf"": ""[\'True\', \'100\', \'null\''",BONUS,0,1
26,0.638,"'{""WzGzC"": ""dYbfMYnQr"", ""QuUWNlkcY"": 1683859007, ""UqsybJusJYij"": ""wHjNalSEezVUXTvini'",BONUS,0,1
27,0.664,"'{""rfRpF"": -414763358, ""HSlVhWaWbuBgrBqgxGT"": ""False""}'",BONUS,0,1
28,0.688,"'{""a"": }'",BONUS,0,1
29,0.712,"'{""LekSVSkoIPxpO"": ""dJURAlMrLveQIIHeORntPdLEshwfCEHetxPctclrhoWVqzeiHHH"", ""qZHyxJmOAkcfOW"": ""[\'True\', \'47\', \'HRneYA",BONUS,0,1
30,0.736,'{bad json}',BONUS,0,1
31,0.762,"'{""ILHqTHqvk"": """", ""pskVTZoM"": """", ""oJPwIVYVPeGlZoCHNTXT"": """", ""RjEEaeeyAuoYJkKIBHDJ"": ""True"", ""ZBwnTitpTNlO"": """", ""eeje",BONUS,0,1
32,0.787,"'{""hixQyiMOBFQJLYb"": ""True"", ""yklxKJJFgoSR"": ""MFlmYdYsFtwUTIFvmrFxeWXpmqWCcQojcPHtpsqsIaiJEYF"", ""Dfa"": ""m\'vQrAPsngBhWqA",BONUS,0,1
33,0.811,"'{""WzGzC"": ""dYbfMYnQr"", ""QuUWNlkcY"": 1683859007, 1""UqsybJusJYij"": ""wHjNalSEezVUXTvinizQaQEdgpsIjhnemZ"", ""DBJ"": """", ""YvNH",BONUS,0,1
34,0.835,"'{""ILHqTHqvk"": """", ""pskVTZoM"": """", ""oJPwIVYVPeGlZoCHNTXT"": """", ""RjEEaeeyAuoYJkKIBHDJ"": ""True"", ""ZBwnTitpTNlO"": """", ""eeje",BONUS,0,1
35,0.861,"'{""gxyjOjsFFYTvwwqiJW"": ""sZDVGrIszhcyUEIgDWgnIInTxreglecczssXIDfRlRwNovBFXQiaceK"", ""xmCBjZvZZqK"": ""[\'97\']"", ""NOYBkhjQU",BONUS,0,1
36,0.886,"'{""a"": }'",BONUS,0,1
37,0.910,"'{""IQdzKaBSgSLrmGvhuiyy"": ""[\'True\', \'xHTuihTpCYXmZFlVMiELVmVslvHnKyXiWAbBVSIFUxFoAO\']"", ""pFZdmPN"": """", ""XZvKIXqPvTTY",BONUS,0,1
