timestamp,run_id,statement_coverage,branch_coverage,function_coverage,map_density,total_inputs,coverage_source
2026-04-21 16:34:16,20260421_163416,59.09,50.0,57.69,0.0061,1,instrumented
2026-04-21 16:34:28,20260421_163416,75.64,50.0,72.09,0.0061,2,instrumented
2026-04-21 16:34:40,20260421_163416,75.64,50.0,72.09,0.0061,3,instrumented
2026-04-21 16:34:52,20260421_163416,75.64,50.0,72.09,0.0061,4,instrumented
2026-04-21 16:35:04,20260421_163416,75.64,50.0,72.09,0.0061,5,instrumented
2026-04-21 16:35:18,20260421_163416,75.64,50.0,72.09,0.0061,6,instrumented
2026-04-21 16:35:39,20260421_163416,78.21,50.0,74.42,0.0061,7,instrumented
2026-04-21 16:35:50,20260421_163416,78.21,50.0,74.42,0.0061,8,instrumented
2026-04-21 16:36:03,20260421_163416,78.21,50.0,74.42,0.0061,9,instrumented
2026-04-21 16:36:14,20260421_163416,78.21,50.0,74.42,0.0061,10,instrumented
2026-04-21 16:36:26,20260421_163416,78.21,50.0,74.42,0.0061,11,instrumented
2026-04-21 16:36:38,20260421_163416,82.05,50.0,77.91,0.0061,12,instrumented
2026-04-21 16:36:49,20260421_163416,82.05,50.0,77.91,0.0061,13,instrumented
2026-04-21 16:37:01,20260421_163416,82.05,50.0,77.91,0.0061,14,instrumented
2026-04-21 16:37:14,20260421_163416,82.05,50.0,77.91,0.0061,15,instrumented
2026-04-21 16:37:28,20260421_163416,82.05,50.0,77.91,0.0061,16,instrumented
2026-04-21 16:37:39,20260421_163416,82.05,50.0,77.91,0.0061,17,instrumented
2026-04-21 16:37:51,20260421_163416,82.05,50.0,77.91,0.0061,18,instrumented
2026-04-21 16:38:06,20260421_163416,82.05,50.0,77.91,0.0061,19,instrumented
2026-04-21 16:38:18,20260421_163416,82.05,50.0,77.91,0.0061,20,instrumented
2026-04-21 16:38:30,20260421_163416,82.05,50.0,77.91,0.0061,21,instrumented
2026-04-21 16:38:42,20260421_163416,82.05,50.0,77.91,0.0061,22,instrumented
2026-04-21 16:38:53,20260421_163416,82.05,50.0,77.91,0.0061,23,instrumented
2026-04-21 16:39:05,20260421_163416,82.05,50.0,77.91,0.0061,24,instrumented
2026-04-21 16:39:17,20260421_163416,82.05,50.0,77.91,0.0061,25,instrumented
2026-04-21 16:39:28,20260421_163416,82.05,50.0,77.91,0.0061,26,instrumented
2026-04-21 16:39:40,20260421_163416,82.05,50.0,77.91,0.0061,27,instrumented
2026-04-21 16:39:52,20260421_163416,82.05,50.0,77.91,0.0061,28,instrumented
2026-04-21 16:40:04,20260421_163416,82.05,50.0,77.91,0.0061,29,instrumented
2026-04-21 16:40:16,20260421_163416,82.05,50.0,77.91,0.0061,30,instrumented
2026-04-21 16:40:29,20260421_163416,82.05,50.0,77.91,0.0061,31,instrumented
2026-04-21 16:40:50,20260421_163416,82.05,50.0,77.91,0.0061,32,instrumented
